Round  prob_MSE  expected_votes
0 2.88274 53.2771

1 2.84676 54.7623

2 2.87109 55.3895

3 2.61012 57.0689

4 2.56601 59.3199

5 2.41488 60.9898

6 2.2004 62.2846

7 1.91951 65.2232

8 2.04438 66.7733

9 2.12824 68.0879

10 2.14158 69.4994

11 2.13718 70.6474

12 1.77459 72.5454

13 1.71792 74.0529

14 1.77291 75.257

15 1.74922 76.3284

16 1.75169 77.4387

17 1.83506 78.4783

18 1.8009 79.5679

19 1.85561 80.3422

20 1.63944 81.379

21 1.45572 82.4404

22 1.57313 83.2974

23 1.40027 84.2248

24 1.31663 84.6064

25 1.34569 85.3646

26 1.36644 85.9938

27 1.34882 86.6011

28 1.37933 87.2606

29 1.32419 87.9315

30 1.21866 88.5096

31 1.22774 88.7856

32 1.09098 89.4136

33 1.02426 89.9387

34 0.950672 90.3253

35 0.909466 90.6875

36 0.952841 91.0476

37 0.831493 91.4678

38 0.885587 91.7733

39 1.02581 92.0683

40 1.05071 92.3554

41 0.936761 92.6355

42 0.874871 92.901

43 0.853857 93.1698

44 0.776028 93.407

45 0.707125 93.5803

46 0.703781 93.7736

47 0.659574 93.9284

48 0.642077 94.1067

49 0.65909 94.2707

50 0.629304 94.4039

51 0.652954 94.5515

52 0.637858 94.7039

53 0.635824 94.8515

54 0.602599 94.9819

55 0.591216 95.1047

56 0.567974 95.2204

57 0.563141 95.3343

58 0.521286 95.4322

59 0.496505 95.5212

60 0.470014 95.608

61 0.490744 95.7025

62 0.514752 95.8007

63 0.51598 95.8902

64 0.508053 95.9734

65 0.4642 96.0442

66 0.461434 96.1183

67 0.481738 96.1953

68 0.468868 96.2641

69 0.452165 96.329

70 0.452005 96.3937

71 0.424733 96.4525

72 0.392943 96.5061

73 0.398196 96.5654

74 0.415276 96.6246

75 0.421586 96.6816

76 0.42762 96.7388

77 0.414571 96.792

78 0.400904 96.842

79 0.391722 96.89

80 0.387704 96.9364

81 0.378887 96.9801

82 0.373883 97.0261

83 0.372902 97.0709

84 0.371757 97.1138

85 0.373052 97.157

86 0.363789 97.1972

87 0.355744 97.2367

88 0.361662 97.2769

89 0.357045 97.3152

90 0.335448 97.3491

91 0.331611 97.3838

92 0.340106 97.4196

93 0.334511 97.4532

94 0.324641 97.485

95 0.298289 97.5125

96 0.298166 97.5434

97 0.299844 97.5732

98 0.293034 97.6013

99 0.296177 97.6293

100 0.297398 97.6569

